site,season,burned,tsf,ndvi_abs,ndvi_het
CG-016,16_1,prefire,-18,0.259,0.0392
CG-017,16_1,prefire,-18,0.189,0.0442
CG-018,16_1,prefire,-18,0.229,0.022
CG-019,16_1,prefire,-18,0.175,0.017
CG-020,16_1,prefire,-18,0.178,0.0172
CG-029,16_1,prefire,-18,0.31,0.0449
CG-030,16_1,prefire,-18,0.292,0.0399
CG-031,16_1,prefire,-18,0.215,0.0365
CG-033,16_1,prefire,-18,0.184,0.0163
CG-042,16_1,prefire,-18,0.261,0.0374
CG-044,16_1,prefire,-18,0.284,0.0351
CG-045,16_1,prefire,-18,0.264,0.0452
CG-047,16_1,prefire,-18,0.242,0.0353
CG-048,16_1,prefire,-18,0.205,0.0216
CG-056,16_1,prefire,-18,0.275,0.0492
CG-057,16_1,prefire,-18,0.287,0.0453
CG-058,16_1,prefire,-18,0.297,0.066
CG-059,16_1,prefire,-18,0.332,0.0302
CG-069,16_1,prefire,-18,0.305,0.0397
CG-070,16_1,prefire,-18,0.281,0.041
CG-071,16_1,prefire,-18,0.303,0.0375
CG-073,16_1,prefire,-18,0.275,0.0393
CG-074,16_1,prefire,-18,0.291,0.0368
CG-075,16_1,prefire,-18,0.253,0.0369
CG-084,16_1,prefire,-18,0.316,0.029
CG-085,16_1,prefire,-18,0.284,0.0382
CG-088,16_1,prefire,-18,0.287,0.0537
CG-089,16_1,prefire,-18,0.284,0.0364
CG-090,16_1,prefire,-18,0.265,0.0405
CG-092,16_1,prefire,-18,0.292,0.0347
CG-096,16_1,prefire,-18,0.268,0.0274
CG-097,16_1,prefire,-18,0.281,0.0462
CG-098,16_1,prefire,-18,0.277,0.0375
CG-102,16_1,prefire,-18,0.297,0.0383
CG-103,16_1,prefire,-18,0.263,0.0334
CO-TR,16_1,prefire,-6,0.213,0.0304
DO-CA3,16_1,prefire,-6,0.188,0.0607
DR-SP2,16_1,prefire,-6,0.238,0.0409
EA-MW2,16_1,prefire,-6,0.175,0.0405
FR-RO,16_1,prefire,-6,0.201,0.0315
GY-FO,16_1,prefire,-6,0.191,0.017
IR-ME1,16_1,prefire,-6,0.217,0.026
IRC01,16_1,prefire,-6,0.16,0.0347
IRC02,16_1,prefire,-6,0.217,0.0323
IRC03,16_1,prefire,-6,0.221,0.034
IRC04,16_1,prefire,-6,0.214,0.0371
IRC05,16_1,prefire,-6,0.197,0.0331
IRC06,16_1,prefire,-6,0.213,0.0375
IRC07,16_1,prefire,-6,0.223,0.0352
IRC09,16_1,prefire,-6,0.215,0.029
IRC10,16_1,prefire,-6,0.231,0.0309
IRC12,16_1,prefire,-6,0.21,0.0383
IRC13,16_1,prefire,-6,0.218,0.0247
LI-ME2,16_1,prefire,-6,0.249,0.0259
LO-WE2,16_1,prefire,-6,0.212,0.0306
MO-FR1,16_1,prefire,-6,0.205,0.0275
OR-LO,16_1,prefire,-6,0.184,0.0371
OV-TR,16_1,prefire,-6,0.203,0.0402
RO-CA2,16_1,prefire,-6,0.205,0.0238
SO-GY,16_1,prefire,-6,0.208,0.0252
UP-WE,16_1,prefire,-6,0.21,0.0295
WE-TR1,16_1,prefire,-6,0.227,0.0344
WE-TR3,16_1,prefire,-6,0.215,0.0314
AG-CH,16_2,prefire,-5,0.172,0.0151
AU-TR,16_2,prefire,-5,0.182,0.0296
BO-SP,16_2,prefire,-5,0.162,0.0211
BO-TR,16_2,prefire,-5,0.168,0.021
CG-001,16_2,prefire,-17,0.246,0.0897
CG-002,16_2,prefire,-17,0.197,0.0463
CG-003,16_2,prefire,-17,0.221,0.0622
CG-004,16_2,prefire,-17,0.293,0.0368
